id,lat,lng,seq
M040876,40.781189,-73.958562,80002
M040876,40.781189,-73.958562,90001
M040876,40.787127,-73.954244,90002
M040876,40.787127,-73.954244,100001
M040876,40.790342,-73.951890,100002
M040876,40.790342,-73.951890,110001
M040876,40.793472,-73.949602,110002
M040876,40.793472,-73.949602,120001
M040876,40.793602,-73.949509,120002
M040876,40.794272,-73.949009,120003
M040876,40.794902,-73.948559,120004
M040876,40.795532,-73.948099,120005
M040876,40.796162,-73.947639,120006
M040876,40.796272,-73.947899,120007
M040876,40.796352,-73.948083,120008
M040876,40.796352,-73.948083,130001
M040876,40.796692,-73.948869,130002
M040876,40.796792,-73.948819,130003
M040876,40.796892,-73.948819,130004
M040876,40.796972,-73.948859,130005
M040876,40.797052,-73.948959,130006
M040876,40.797102,-73.949089,130007
M040876,40.797116,-73.949171,130008
M040876,40.797116,-73.949171,140001
M040876,40.797122,-73.949209,140002
M040876,40.797122,-73.949349,140003
M040876,40.797112,-73.949509,140004
M040876,40.797092,-73.949729,140005
M040876,40.797152,-73.949879,140006
M040876,40.797612,-73.950979,140007
M040876,40.798162,-73.952289,140008
M040876,40.798202,-73.952379,140009
M040876,40.798282,-73.952559,140010
M040876,40.798312,-73.952629,140011
M040876,40.798322,-73.952654,140012
M040876,40.798322,-73.952654,150001
M040876,40.799311,-73.955006,150002
M040876,40.799311,-73.955006,160001
M040876,40.799392,-73.955199,160002
M040876,40.799462,-73.955369,160003
M040876,40.799522,-73.955529,160004
M040876,40.800482,-73.957879,160005
M040876,40.800572,-73.957859,160006
M040876,40.800632,-73.957869,160007
M040876,40.800692,-73.957899,160008
M040876,40.800732,-73.957929,160009
M040876,40.800782,-73.958019,160010
M040876,40.800812,-73.958109,160011
M040876,40.800812,-73.958219,160012
M040876,40.800792,-73.958309,160013
M040876,40.800752,-73.958389,160014
M040876,40.800692,-73.958449,160015
M040876,40.800720,-73.958524,160016
M040876,40.800720,-73.958524,170001
M040876,40.801313,-73.960035,170002
M040876,40.801313,-73.960035,180001
M040876,40.801938,-73.961453,180002
M040876,40.801938,-73.961453,190001
M040876,40.803141,-73.964265,190002
M040876,40.803141,-73.964265,200001
M040876,40.804071,-73.966488,200002
M040876,40.804071,-73.966488,210001
M040876,40.808004,-73.963787,210002
M040876,40.808004,-73.963787,220001
M040876,40.808062,-73.963749,220002
M040876,40.808222,-73.963629,220003
M040876,40.808802,-73.963199,220004
M040876,40.809312,-73.962829,220005
M040876,40.809902,-73.962399,220006
M040876,40.810482,-73.961959,220007
M040876,40.811152,-73.961469,220008
M040876,40.811262,-73.961389,220009
M040876,40.811782,-73.960999,220010
M040876,40.811822,-73.960969,220011
M040876,40.812237,-73.960653,220012
M040876,40.812237,-73.960653,230001
M040876,40.812402,-73.960529,230002
M040876,40.813722,-73.959559,230003
M040876,40.814562,-73.958969,230004
M040876,40.814981,-73.958672,230005
M040876,40.814981,-73.958672,240001
M040876,40.817308,-73.956978,240002
M040876,40.817308,-73.956978,250001
M040876,40.820661,-73.954533,250002
M040876,40.820661,-73.954533,260001
M040876,40.826824,-73.950046,260002
M040876,40.826824,-73.950046,270001
M040876,40.834286,-73.944586,270002
M040876,40.834286,-73.944586,280001
M040876,40.835547,-73.943672,280002
M040876,40.835547,-73.943672,290001
M040876,40.836767,-73.942765,290002
M040876,40.836767,-73.942765,300001
M040876,40.838033,-73.941836,300002
M040876,40.838033,-73.941836,310001
M040876,40.838372,-73.941579,310002
M040876,40.839112,-73.941039,310003
M040876,40.839202,-73.941219,310004
M040876,40.839712,-73.942179,310005
M040876,40.840182,-73.943069,310006
M040876,40.840578,-73.942912,310007
M040876,40.840578,-73.942912,320001
M040876,40.842425,-73.942161,320002
M040876,40.842425,-73.942161,330001
M040876,40.842622,-73.942079,330002
M040876,40.842802,-73.942009,330003
M040876,40.843072,-73.941899,330004
M040876,40.843432,-73.941639,330005
M040876,40.844042,-73.941139,330006
M040876,40.844342,-73.940942,330007
M040876,40.844342,-73.940942,340001
M040876,40.845716,-73.940367,340002
M040876,40.845716,-73.940367,350001
M040876,40.846841,-73.939912,350002
M040876,40.846841,-73.939912,360001
M040876,40.846992,-73.939849,360002
M040876,40.847202,-73.939779,360003
